id,country,iso3,gwno,year,geo_id,geolocation,level,adm1,adm2,adm3,location,historical,hist_country,disastertype,disasterno,Latitude,Longitude
2003,Ecuador,ECU,130,1976,6050,Esmeraldas,1,Esmeraldas,NA,NA,Esmeraldas,0,NA,earthquake,1976-0033,0.705423981,-79.22176809
2646,India,IND,750,1967,8443,Maharashtra,1,Maharashtra,NA,NA,Maharashtra,0,NA,earthquake,1967-0077,19.44975928,76.10822143
2740,India,IND,750,1991,8869,Uttar Pradesh,1,Uttar Pradesh,NA,NA,Uttar Pradesh,0,NA,earthquake,1991-0368,26.92542523,80.56098215
2975,Indonesia,IDN,850,1967,9715,Sulawesi Selatan,1,Sulawesi Selatan,NA,NA,South Sulawesi,0,NA,earthquake,1967-0101,-3.732296629,120.1611373
2984,Indonesia,IDN,850,1977,9549,Nusa Tenggara Barat,1,Nusa Tenggara Barat,NA,NA,Lombok,0,NA,earthquake,1977-0106,-8.606664515,117.5074521
2988,Indonesia,IDN,850,1979,9550,Nusa Tenggara Barat,1,Nusa Tenggara Barat,NA,NA,Lombok Island,0,NA,earthquake,1979-0054,-8.606664515,117.5074521
2991,Indonesia,IDN,850,1979,9273,Jawa Barat,1,Jawa Barat,NA,NA,West Java,0,NA,earthquake,1979-0102,-6.920194937,107.6030311
2993,Indonesia,IDN,850,1979,9551,Nusa Tenggara Barat,1,Nusa Tenggara Barat,NA,NA,Lombok,0,NA,earthquake,1979-0115,-8.606664515,117.5074521
3005,Indonesia,IDN,850,1983,9793,Sumatera Utara,1,Sumatera Utara,NA,NA,North Sumatra,0,NA,earthquake,1983-0067,2.190811217,99.0533116
3006,Indonesia,IDN,850,1984,9730,Sulawesi Tengah,1,Sulawesi Tengah,NA,NA,Sulawesi Tengah,0,NA,earthquake,1984-0015,-1.003911742,121.2022833
3035,Indonesia,IDN,850,1990,9798,Sumatera Utara,1,Sumatera Utara,NA,NA,North Sumatra,0,NA,earthquake,1990-0593,2.190811217,99.0533116
3045,Indonesia,IDN,850,1994,9508,Maluku Utara,1,Maluku Utara,NA,NA,Halmahera,0,NA,earthquake,1994-0006,0.210393283,127.53991
3045,Indonesia,IDN,850,1994,9601,Papua,1,Papua,Papua,NA,Irian Jaya region,0,NA,earthquake,1994-0006,-4.662877994,138.6911071
3053,Indonesia,IDN,850,1994,9496,Maluku,1,Maluku,NA,NA,Maluki,0,NA,earthquake,1994-0652,-4.729786971,129.8374071
3053,Indonesia,IDN,850,1994,9799,Sumatera Utara,1,Sumatera Utara,NA,NA,North Sumatra,0,NA,earthquake,1994-0652,2.190811217,99.0533116
3063,Indonesia,IDN,850,1996,9732,Sulawesi Tengah,1,Sulawesi Tengah,NA,NA,Sulawesi Tengah,0,NA,earthquake,1996-0002,-1.003911742,121.2022833
3072,Indonesia,IDN,850,1998,9497,Maluku,1,Maluku,NA,NA,Maluku,0,NA,earthquake,1998-0403,-4.729786971,129.8374071
3233,Iran,IRN,630,1977,10035,Hormozgan,1,Hormozgan,NA,NA,Bandar Abbas,0,NA,earthquake,1977-0051,27.1123314,56.21993732
3235,Iran,IRN,630,1977,10036,Hormozgan,1,Hormozgan,NA,NA,Ilchi,0,NA,earthquake,1977-0071,27.1123314,56.21993732
3236,Iran,IRN,630,1977,10037,Hormozgan,1,Hormozgan,NA,NA,Hormozgan,0,NA,earthquake,1977-0140,27.1123314,56.21993732
